,name,address,closed,gPlusPlaceId,gps,Class_,Class_$,Class_$$,Class_$$$,location_cluster,rating,categories,unixReviewTime,reviewTime,top_category,relevant_cat,translated,cat_cluster,sentiment,charged_words,price_words
214,Specialty's Cafe & Bakery,"['3399 Bowers Ave', 'Santa Clara, CA 95054']",False,117261877263612920264,"[37.381988, -121.977532]",0,0,1,0,0.0,2.0,"['Cafe', 'Dessert Shop', 'Cookie Shop']",2011-08-29 20:37:01,2011-08-29,Cafe,True,,,,,[]
215,Beigel Bake,"['159 Brick Ln', 'London E1 6SB', 'United Kingdom']",False,110942658064548191424,"[51.524464, -0.071809]",0,0,0,1,0.0,4.0,['Bakery'],2012-03-08 11:45:27,2012-03-08,Bakery,True,,,,,[]
216,Louisiana Lagniappe Restaurant,"['9990 Perkins Rd', 'Baton Rouge, LA 70810']",False,112018395618096682697,"[30.378281, -91.096493]",0,0,1,0,0.0,4.0,"['Restaurant', 'Seafood Restaurant']",2013-06-01 16:01:57,2013-06-01,Restaurant,True,,,,,[]
217,China Village Seafood Restaurant,"['600 Ralston Ave', 'Belmont, CA 94002']",False,115270991893461782543,"[37.521826, -122.274529]",0,0,1,0,0.0,3.0,['Seafood Restaurant'],2011-04-15 20:21:37,2011-04-15,Seafood Restaurant,True,,,,,[]
218,Sellers Markets,"['595 Market St', 'San Fransisco, CA 94105']",False,107966414088597011109,"[37.788978, -122.400829]",0,0,1,0,0.0,3.0,"['Organic Restaurant', 'Sandwich Shop']",2011-09-20 20:44:34,2011-09-20,Organic Restaurant,True,,,,,[]
219,Tamarind,"['20 Queen St', 'London W1J 5PR', 'United Kingdom']",False,116296165691032227030,"[51.506973, -0.147132]",0,0,1,0,0.0,3.0,['Indian Restaurant'],2012-03-12 16:54:44,2012-03-12,Indian Restaurant,True,,,,,[]
220,Trishna,"['15-17', 'Blandford St', 'Marylebone Village, London W1U 3DG, United Kingdom']",False,114102148737155199682,"[51.518434, -0.15264]",0,0,1,0,0.0,5.0,"['Indian Restaurant', 'Asian Restaurant', 'South Asian Restaurant']",2012-10-07 13:16:54,2012-10-07,Indian Restaurant,True,,,,,[]
221,Big Daddy's Roadhouse Grill,"['1610 S Kings Hwy', 'Myrtle Beach, SC 29577']",False,101710674346382004551,"[33.675222, -78.904867]",0,0,1,0,0.0,1.0,"['Steak House', 'American Restaurant', 'Barbecue Restaurant']",2013-08-18 00:37:42,2013-08-17,Steak House,True,"Great service, delicious food",1.0,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.8316}","['Great', 'delicious']",[]
222,Pizza Hut,"['1086 S Sable Blvd', 'Aurora, CO 80012']",False,110459678086258103680,"[39.69724, -104.81865]",0,0,0,1,0.0,3.0,"['Pizza Restaurant', 'European Restaurant']",2012-12-16 00:39:19,2012-12-15,Pizza Restaurant,True,,0.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
223,Casa Gamino,"['8330 Alondra Blvd', 'Paramount, CA 90723']",False,100465604030725317151,"[33.889058, -118.153606]",0,0,1,0,0.0,4.0,"['Mexican Restaurant', 'Latin American Restaurant']",2012-09-03 19:18:39,2012-09-03,Mexican Restaurant,True,"I've been to a few different BWW and this is bar far the worst location. If you are going to eat, don't eat here. I've tried this location a few different times and it NEVER gets better. Service is the worst, whether servers or bartenders. it's awful. Go somewhere else. There are many restaurants down the street including Ale House, carrabbas, long horn, Fridays, etc... Any one of these places would be leaps and bounds better.",1.0,"{'neg': 0.155, 'neu': 0.811, 'pos': 0.033, 'compound': -0.8935}","['worst', 'better.', 'worst,', 'awful.', 'better.']",[]
224,In-N-Out Burger,"['730 W Carson St', 'Torrance, CA 90502']",False,105016322722009031154,"[33.831182, -118.288476]",0,0,0,1,0.0,4.0,"['Hamburger Restaurant', 'Fast Food Restaurant']",2012-10-01 18:57:18,2012-10-01,Hamburger Restaurant,True,,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
225,Busaba Eathai,"['22 Store St', 'London WC1E 7DF', 'United Kingdom']",False,114448256135938528336,"[51.519513, -0.132489]",0,0,0,1,0.0,4.0,"['Thai Restaurant', 'Southeast Asian Restaurant', 'Asian Restaurant']",2012-02-24 15:12:39,2012-02-24,Thai Restaurant,True,,,,,[]
226,Hungry Howie's,"['15028 US Highway 19 S', 'Thomasville, GA 31757']",True,102471437282277965376,"[30.80096, -83.935407]",0,0,0,1,0.0,1.0,"['Pizza Restaurant', 'European Restaurant']",2013-08-16 18:54:50,2013-08-16,Pizza Restaurant,True,"I have known the pizzeria Pinocchio for a long time, always good food at a reasonable price. None better.",1.0,"{'neg': 0.108, 'neu': 0.762, 'pos': 0.13, 'compound': 0.1265}","['good', 'better.']",[]
227,McDonald's,"['5651 Georgia 20', 'Cartersville, GA 30121']",False,115579541058825178482,"[34.209896, -84.759408]",0,0,0,1,0.0,4.0,"['Restaurant', 'Fast Food Restaurant', 'Hamburger Restaurant']",2011-06-24 00:36:40,2011-06-23,Restaurant,True,,,,,[]
228,Pho Hana Restaurant,"['2777 S Diamond Bar Blvd', 'Diamond Bar, CA 91765']",False,116778979680292879040,"[33.975206, -117.836865]",0,0,1,0,0.0,5.0,['Vietnamese Restaurant'],2012-09-10 04:38:45,2012-09-09,Vietnamese Restaurant,True,,,,,[]
229,Guanabara,"['New London Theatre', 'Parker St', 'London WC2B 5PW, United Kingdom']",False,115880996216895339942,"[51.5152, -0.122361]",0,0,0,1,0.0,4.0,"['Restaurant', 'South American Restaurant', 'Event Venue']",2012-01-04 14:30:33,2012-01-04,Restaurant,True,,,,,[]
230,Cantina Laredo,"['10 Upper St Martins Lane', 'St. Martins Courtyard, Covent Garden', 'London WC2H 9FB, United Kingdom']",False,113569881508837338872,"[51.512683, -0.126992]",0,0,1,0,0.0,5.0,['Mexican Restaurant'],2012-03-09 00:00:00,2012-03-08,Mexican Restaurant,True,,,,,[]
231,Leon de Bruxelles,"['24 Cambridge Circus', 'Charing Cross', 'London WC2H 8AA, United Kingdom']",False,111147062275560724974,"[51.513596, -0.129008]",0,0,0,1,0.0,4.0,"['Belgian Restaurant', 'European Restaurant', 'Seafood Restaurant']",2013-08-23 13:02:41,2013-08-23,Belgian Restaurant,True,,,,,[]
232,Real de Minas III,"['6775 S Cornerstar Way', 'Aurora, CO 80016']",False,115812906903105166635,"[39.59329, -104.806967]",0,0,1,0,0.0,2.0,['Mexican Restaurant'],2011-02-15 03:19:03,2011-02-14,Mexican Restaurant,True,,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
233,Idylwood Grill and Wine Bar,"['2190 Pimmit Dr', 'Falls Church, VA 22043']",False,104931986804983043071,"[38.901992, -77.20546]",0,0,1,0,0.0,5.0,['Bar & Grill'],2013-05-20 20:37:48,2013-05-20,Bar & Grill,True,,0.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
234,Food For Thought,"['31 Neal St', 'London WC2H 9PR', 'United Kingdom']",False,116873145193138784322,"[51.514085, -0.125439]",0,0,0,1,0.0,2.0,"['Vegetarian Restaurant', 'Vegan Restaurant']",2012-05-14 17:50:25,2012-05-14,Vegetarian Restaurant,True,,,,,[]
235,Bob Evans Restaurant,"['3409 Seajay Dr', 'Beavercreek, OH 45430']",False,101028280865317293885,"[39.722141, -84.06256]",0,0,0,1,0.0,2.0,['American Restaurant'],2013-05-13 13:36:39,2013-05-13,American Restaurant,True,,,,,[]
236,Beso,"['11 Schuyler St', 'Staten Island, NY 10301']",False,102350061438161678111,"[40.643456, -74.076566]",0,0,1,0,0.0,5.0,"['Spanish Restaurant', 'European Restaurant']",2014-02-20 07:11:45,2014-02-19,Spanish Restaurant,True,,,,,[]
237,Ugly Mug Bar & Restaurant,"['426 Washington St', 'Cape May, NJ 08204']",False,102947236451308154248,"[38.932713, -74.922648]",0,0,1,0,0.0,3.0,"['Restaurant', 'Bar & Grill']",2013-06-11 03:00:43,2013-06-10,Restaurant,True,,,,,[]
238,Domino's Pizza,"['No. 18/2A, Varthur Hobli, Bellandur Gate, Opp. IDEB Springfields', 'Sarjapur Main Rd, Ambalipura, Bellandur', 'Bangalore, Karnataka 560103, India']",False,114218705818574055823,"[12.918779, 77.669795]",0,0,0,1,0.0,1.0,"['Pizza Restaurant', 'European Restaurant', 'Italian Restaurant']",2011-07-13 09:25:12,2011-07-13,Pizza Restaurant,True,,,,,[]
239,Le Gavroche,"['43 Upper Brook St', 'London W1K 7QR', 'United Kingdom']",False,117840124317348981963,"[51.511206, -0.155147]",1,0,0,0,0.0,5.0,['French Restaurant'],2012-03-09 00:00:00,2012-03-08,French Restaurant,True,,,,,[]
240,Mu-Mu,"['ул. Рождественка, 5/7, стр. 2', 'г. Москва, Russia', '107031']",False,102651163089321584592,"[55.760857, 37.623335]",0,0,0,1,0.0,4.0,"['Cafe', 'Fast Food Restaurant']",2012-06-11 16:02:38,2012-06-11,Cafe,True,,,,,[]
241,Marie Callender's Restaurant & Bakery,"['14743 Ventura Blvd', 'Sherman Oaks, CA 91403']",False,112555091379349206292,"[34.152491, -118.454241]",0,0,1,0,0.0,1.0,"['American Restaurant', 'Bakery']",2013-12-01 01:14:42,2013-11-30,American Restaurant,True,Beef noodles are average. The stir-fried dishes have a unique flavor and every dish is delicious.,1.0,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.5719}",['delicious.'],[]
242,Diamond Dave's Steakhouse,"['2500 Cobb Pkwy NW', 'Kennesaw, GA 30152']",False,104782094987381767099,"[34.014969, -84.612864]",0,0,1,0,0.0,5.0,"['American Restaurant', 'Fast Food Restaurant', 'Bar']",2013-04-01 20:48:07,2013-04-01,American Restaurant,True,,,,,[]
243,Spondi,"['Pirronos 5', 'Athina 116 36', 'Greece']",False,115876012748749136683,"[37.965174, 23.743106]",1,0,0,0,0.0,5.0,"['Mediterranean Restaurant', 'French Restaurant']",2004-01-12 00:00:00,2004-01-11,Mediterranean Restaurant,True,,,,,[]
244,Boulevard Brasserie,"['40 Wellington St', 'London WC2E 7BD', 'United Kingdom']",False,105996117094191600926,"[51.512508, -0.120867]",0,0,0,1,0.0,2.0,"['French Restaurant', 'Brasserie']",2013-08-26 13:42:29,2013-08-26,French Restaurant,True,,,,,[]
245,La Cosecha Argentinian Steakhouse,"['6981 NW 74th St', 'Miami, FL 33166']",False,107968903408312147738,"[25.840994, -80.311899]",0,0,0,1,0.0,5.0,['Restaurant'],2013-01-28 21:58:33,2013-01-28,Restaurant,True,,,,,[]
246,36th Street Bistro,"['3823 N Garden Center Way', 'Boise, ID 83703']",False,103916354808020702504,"[43.654809, -116.234206]",0,0,1,0,0.0,4.0,"['American Restaurant', 'Bistro', 'Wine Bar']",2012-05-31 04:37:41,2012-05-30,American Restaurant,True,,,,,[]
247,Red Lobster,"['700 N Congress Ave', 'Boynton Beach, FL 33426']",False,114591612753345565231,"[26.533776, -80.090027]",0,0,1,0,0.0,5.0,['Seafood Restaurant'],2013-04-12 22:06:01,2013-04-12,Seafood Restaurant,True,,,,,[]
248,Crazy Burritos,"['238 Plainfield Ave', 'Edison, NJ 08817']",False,105983064462603277655,"[40.512729, -74.402672]",0,0,1,0,0.0,1.0,"['Spanish Restaurant', 'Latin American Restaurant', 'Mexican Restaurant']",2011-12-27 23:00:09,2011-12-27,Spanish Restaurant,True,Excellent food and excellent prices!,3.0,"{'neg': 0.0, 'neu': 0.281, 'pos': 0.719, 'compound': 0.8268}","['Excellent', 'excellent']",[]
249,Chipotle Mexican Grill,"['500 Route 73 S', 'Ste D-18', 'Marlton, NJ 08053']",False,106065875816352667860,"[39.877464, -74.91928]",0,0,0,1,0.0,2.0,"['Mexican Restaurant', 'Latin American Restaurant', 'Fast Food Restaurant']",2013-10-07 13:57:30,2013-10-07,Mexican Restaurant,True,This place rocks!,3.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[],[]
250,Bread Street Kitchen,"['One New Change', '10 Bread St', 'London EC4M 9AB, United Kingdom']",False,113330549717391606173,"[51.513569, -0.095054]",0,0,1,0,0.0,4.0,"['European Restaurant', 'Bar']",2012-12-14 21:30:20,2012-12-14,European Restaurant,True,,,,,[]
251,Amaya Restaurant,"['Halkin Arcade', 'Motcomb St', 'London SW1X 8JT, United Kingdom']",False,108683758661180453655,"[51.499232, -0.157089]",0,0,1,0,0.0,5.0,"['Indian Restaurant', 'Caterer']",2012-01-26 00:00:00,2012-01-25,Indian Restaurant,True,,,,,[]
252,Carrows Restaurant,"['10640 Rosecrans Ave', 'Norwalk, CA 90650']",False,114733193794460077701,"[33.901597, -118.106598]",0,0,1,0,0.0,4.0,['Restaurant'],2010-12-23 20:33:55,2010-12-23,Restaurant,True,Delicious food but loud background music,3.0,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.3291}",['Delicious'],[]
253,Mai's Restaurant,"['3403 Milam St', 'Houston, TX 77002']",False,117772635901991865240,"[29.741116, -95.379762]",0,0,1,0,0.0,3.0,['Vietnamese Restaurant'],2013-10-20 20:02:13,2013-10-20,Vietnamese Restaurant,True,"One of Coimbra's icons. Excellent terrace Some people call it the ""Cathedral""",3.0,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}",['Excellent'],[]
254,Ludlow Bar & Dining Room,"['6 Riverside Quay', 'Southbank VIC 3006', 'Australia']",False,104288283217037705114,"[-37.820667, 144.963784]",0,0,0,1,0.0,3.0,"['Pub', 'Function Room Facility', 'Cocktail Bar']",2013-02-25 09:47:09,2013-02-25,Pub,True,,,,,[]
255,Fire & Stone,"['4 Horner Square, Old Spitalfields Market, London, E1 6EW', 'United Kingdom']",True,111465724539610074355,"[51.519519, -0.075836]",0,0,0,1,0.0,3.0,"['European Restaurant', 'Italian Restaurant', 'Pizza Restaurant']",2012-05-14 17:33:46,2012-05-14,European Restaurant,True,,,,,[]
256,The Worker Bee Café,"['973 Linden Ave', 'Carpinteria, CA 93013']",False,116695418162954393299,"[34.398755, -119.518782]",0,0,1,0,0.0,4.0,"['American Restaurant', 'Breakfast Restaurant', 'Family Restaurant']",2013-01-12 19:45:06,2013-01-12,American Restaurant,True,,,,,[]
257,Cafe Jordano,"['11068 W Jewell Ave C9', 'Lakewood, CO 80232']",False,109625897813596582360,"[39.680892, -105.121531]",0,0,1,0,0.0,5.0,"['Italian Restaurant', 'European Restaurant']",2012-10-14 02:41:45,2012-10-13,Italian Restaurant,True,"Great view,  great staff and the cuban banana soup will change your life",2.0,"{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.8481}","['Great', 'great']",[]
258,POPS,"['660 Oklahoma 66', 'Arcadia, OK 73007']",False,100237722929433030113,"[35.658639, -97.33567]",0,0,1,0,0.0,4.0,['Restaurant'],2011-02-02 11:35:37,2011-02-02,Restaurant,True,,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
259,Atasca,"['50 Hampshire St', 'Cambridge, MA 02141']",False,116945445568063418023,"[57.295779, -180.0]",0,0,1,0,0.0,5.0,"['Portuguese Restaurant', 'European Restaurant']",2004-11-05 00:00:00,2004-11-04,Portuguese Restaurant,True,,,,,[]
260,J Patrick's Irish Bar Grill,"['1367 W Erie St', 'Chicago, IL 60642']",False,112346349513374552094,"[41.893265, -87.662096]",0,0,1,0,0.0,4.0,"['Bar & Grill', 'Irish Pub', 'European Restaurant']",2013-11-13 17:46:17,2013-11-13,Bar & Grill,True,,,,,[]
261,Cabana Brasilian Barbecue,"['Westfield Stratford, 5 Chestnut Plaza', 'Montfitchet Way', 'London E20 1GL, United Kingdom']",False,114505103096219272424,"[51.542172, -0.008002]",0,0,0,1,0.0,5.0,"['South American Restaurant', 'Brazilian Restaurant', 'Barbecue Restaurant']",2013-03-27 23:34:43,2013-03-27,South American Restaurant,True,,,,,[]
262,Oishii Sushi Bar,"['612 Hammond St', 'Chestnut Hill, MA 02467']",False,100927151490480581739,"[57.295779, -180.0]",0,0,1,0,0.0,4.0,"['Japanese Restaurant', 'Asian Restaurant', 'Seafood Restaurant']",2004-04-10 00:00:00,2004-04-09,Japanese Restaurant,True,,,,,[]
263,Pieloon,"['10822 Lakewood Blvd', 'Downey, CA 90241']",False,114065597723524995612,"[33.938343, -118.122229]",0,0,1,0,0.0,4.0,['Restaurant'],2013-05-04 17:10:22,2013-05-04,Restaurant,True,"Great place to hang with firends.. Decor is modern Asian style, full of hot girls weekend night..Taiwan style snakes tasty,  slush and bbt ,yummy... My favoriate drink, honey milk green tea, favoriate food, hmmm quite a lot to choose..Maybe the cheese cake, haha..",1.0,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.8885}","['Great', ',yummy...', 'haha..']",[]
264,Wright Brothers Soho,"['Kingly St', 'London W1B 5PW', 'United Kingdom']",False,108776893300669040228,"[51.512587, -0.139142]",0,0,1,0,0.0,4.0,"['Seafood Restaurant', 'Fish and Seafood Restaurant']",2012-03-25 20:40:47,2012-03-25,Seafood Restaurant,True,,,,,[]
265,Gilligan's,"['310 W Broadway', 'New York, NY 10013']",False,106689630448064755324,"[40.721976, -74.00427]",0,0,1,0,0.0,3.0,['Restaurant'],2013-05-22 18:28:27,2013-05-22,Restaurant,True,"Many ingredients are added to the same bowl of porridge, which is very expensive, but the taste does not match at all.",1.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[],[]
266,Gilligan's,"['310 W Broadway', 'New York, NY 10013']",False,106689630448064755324,"[40.721976, -74.00427]",0,0,1,0,0.0,4.0,['Restaurant'],2013-10-04 17:23:33,2013-10-04,Restaurant,True,Had a brunch here with the boys not too long ago. Great french toast and the back patio is fantastic for chill time.,1.0,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.8271}","['Great', 'fantastic']",[]
267,Bison County,"['275 Moody St', 'Waltham, MA 02453']",False,115500998659675288135,"[42.371495, -71.23697]",0,0,1,0,0.0,3.0,"['Barbecue Restaurant', 'Bar & Grill']",2004-11-05 00:00:00,2004-11-04,Barbecue Restaurant,True,,,,,[]
268,Daily Cafe In the Pearl,"['902 NW 13th Ave', 'Portland, OR 97209']",False,110513297697865531215,"[45.529428, -122.684275]",0,0,1,0,0.0,4.0,"['American Restaurant', 'Cafe', 'Caterer']",2013-08-21 19:49:04,2013-08-21,American Restaurant,True,,,,,[]
269,Firehouse Pizza,"['734 Main St', 'Red Bluff, CA 96080']",False,109420033090810328045,"[40.178074, -122.235234]",0,0,1,0,0.0,5.0,"['European Restaurant', 'Italian Restaurant', 'Pizza Restaurant']",2014-03-14 19:46:28,2014-03-14,European Restaurant,True,Biscits hard as a rock..actually knocked on table and watress heard it....food was good biscuits no,1.0,"{'neg': 0.185, 'neu': 0.667, 'pos': 0.149, 'compound': 0.0772}","['hard', 'good', 'no']",[]
270,DMK Burger Bar,"['2954 N Sheffield Ave', 'Chicago, IL 60657']",False,100254219887109012864,"[41.936061, -87.654146]",0,0,1,0,0.0,4.0,"['Hamburger Restaurant', 'American Restaurant', 'Fast Food Restaurant']",2013-03-30 23:34:53,2013-03-30,Hamburger Restaurant,True,,,,,[]
271,Applebee's Neighborhood Grill,"['441 E Main St', 'Westfield, MA 01085']",False,118134376024021591073,"[42.113233, -72.723701]",0,0,1,0,0.0,5.0,"['American Restaurant', 'Bar & Grill', 'Steak House']",2011-04-14 04:01:19,2011-04-13,American Restaurant,True,,,,,[]
272,Wingstop,"['212 E Sepulveda Blvd', 'Carson, CA 90745']",False,117612548869533357849,"[33.807852, -118.273712]",0,0,0,1,0.0,3.0,"['Restaurant', 'Chicken Wings Restaurant', 'Chicken Restaurant']",2012-07-29 02:37:04,2012-07-28,Restaurant,True,,,,,[]
273,Wabi-Sabi,"['29 Bollingbrook St', 'Petersburg, VA 23803']",False,106985080971038134908,"[37.232732, -77.403672]",0,0,1,0,0.0,3.0,"['Restaurant', 'Sushi Restaurant']",2012-10-21 18:04:46,2012-10-21,Restaurant,True,,,,,[]
274,Mela Indian Restaurant,"['152-156 Shaftesbury Ave', 'London WC2H', 'United Kingdom']",False,116531623720407804088,"[51.513823, -0.128207]",0,0,0,1,0.0,3.0,['Indian Restaurant'],2012-03-26 17:22:15,2012-03-26,Indian Restaurant,True,,,,,[]
275,Pizza Hut,"['prospekt Chernyshevskogo, 17, лит. А', 'St Petersburg, Russia', '191014']",False,117502196291767183529,"[59.9441, 30.35816]",0,0,1,0,0.0,4.0,"['European Restaurant', 'Italian Restaurant', 'Pizza Restaurant']",2013-04-26 09:14:56,2013-04-26,European Restaurant,True,,1.0,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",[],[]
276,E5 Bakehouse,"['Arch 395, Mentmore Terrrace', 'London E8 3PH', 'United Kingdom']",False,116718504319578490088,"[51.541224, -0.057519]",0,0,0,1,0.0,5.0,"['Cafe', 'Bakery']",2012-09-25 23:07:16,2012-09-25,Cafe,True,,,,,[]
277,Chi-Chi's Pizza Inc,"['27117 Sierra Hwy', 'Newhall, CA 91351']",False,110017396135508997620,"[34410513.0, -118458976.0]",0,0,1,0,126.0,4.0,"['Pizza Restaurant', 'European Restaurant', 'Italian Restaurant']",2011-05-07 20:56:13,2011-05-07,Pizza Restaurant,True,,,,,[]
278,Sichuan Garden,"['295 Washington St', 'Brookline, MA 02445']",False,117518026332463152571,"[42.333352, -71.119454]",0,0,1,0,0.0,5.0,"['Chinese Restaurant', 'Asian Restaurant']",2006-02-14 00:00:00,2006-02-13,Chinese Restaurant,True,,,,,[]
279,The Rome Restaurant,"['114 S 9th St', 'Columbia, MO 65201']",True,117533668462864973643,"[38.950073, -92.327441]",0,0,1,0,0.0,3.0,"['Restaurant', 'Family Restaurant', 'Wedding Venue']",2013-03-13 00:57:32,2013-03-12,Restaurant,True,"Came here last week and had the Pho.  Good stuff ca;t go wrong there.  Actually had a conversation with, I assume, the owner.  These folks are the real deal.  I'm trying their Ca Ri (curry) is  Vietnamese my first time. Ill update in a minute .   The jasmine tea is perfect!",2.0,"{'neg': 0.099, 'neu': 0.786, 'pos': 0.115, 'compound': 0.2481}","['Good', 'wrong', 'Ill', 'perfect!']",[]
280,Buddy's Pizza,"['8100 Old 13 Mile Rd', 'Warren, MI 48093']",False,101075418879675265827,"[42.520783, -83.027525]",0,0,1,0,0.0,5.0,"['Pizza Restaurant', 'European Restaurant', 'Italian Restaurant']",2014-01-10 22:37:26,2014-01-10,Pizza Restaurant,True,,,,,[]
281,Clare & Don's Beach Shack,"['130 N Washington St', 'Falls Church, VA 22046']",False,100136513815958323334,"[38.88276, -77.170217]",0,0,1,0,0.0,5.0,['Seafood Restaurant'],2013-03-06 05:48:13,2013-03-05,Seafood Restaurant,True,,,,,[]
282,Wongs Cafe,"['1654 U.S. 52', 'Rochester, MN 55901']",False,106172685545500582191,"[44.039916, -92.486878]",0,0,0,1,0.0,5.0,"['Asian Restaurant', 'Chinese Restaurant']",2011-11-07 22:04:23,2011-11-07,Asian Restaurant,True,,,,,[]
283,Milagro,"['5 Mercer St', 'Toronto, ON M5V 1H2', 'Canada']",False,106946454276117525029,"[43.645848, -79.389668]",0,0,1,0,0.0,1.0,['Mexican Restaurant'],2011-07-30 01:49:17,2011-07-29,Mexican Restaurant,True,,,,,[]
284,Athan's Bakery,"['1621 Beacon St', 'Brookline, MA 02446']",False,104428807342796822053,"[42.339224, -71.134785]",0,0,1,0,0.0,4.0,['Mediterranean Restaurant'],2011-04-17 00:00:00,2011-04-16,Mediterranean Restaurant,True,,,,,[]
285,Pizza Rustica,"['667 Lincoln Rd', 'Miami Beach, FL 33139']",False,115770669215145191270,"[25.790659, -80.135442]",0,0,0,1,0.0,1.0,"['Pizza Restaurant', 'European Restaurant', 'Italian Restaurant']",2013-10-15 16:13:24,2013-10-15,Pizza Restaurant,True,French fries heaven!!! :-D you wont regret! Try out all the different sauce for ur fries!!!,2.0,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.8964}","['heaven!!!', ':-D', 'regret!']",[]
286,Grasshopper,"['1 N Beacon St', 'Allston, MA 02134']",False,104144312193221869833,"[42.353718, -71.137435]",0,0,1,0,0.0,4.0,"['Vegan Restaurant', 'Vegetarian Restaurant']",2004-11-05 00:00:00,2004-11-04,Vegan Restaurant,True,,,,,[]
287,Tiny's Restaurant,"['2 Groton School Rd', 'Ayer, MA 01432']",False,113446183964575632666,"[42.569208, -71.592946]",0,0,1,0,0.0,5.0,['Restaurant'],2010-02-19 17:02:41,2010-02-19,Restaurant,True,I usually come every Sunday for a latte and their amazing Rosemary potatoes for breakfast.  You can't go wrong here that's for sure.,1.0,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.825}","['amazing', 'wrong', 'sure.']",[]
288,Harvest & Rowe,"['55 2nd St # 150', 'San Francisco, CA 94105']",False,117876414468911102074,"[37.788715, -122.400437]",0,0,0,1,0.0,2.0,"['Restaurant', 'Sandwich Shop', 'Cafe']",2012-11-13 21:15:35,2012-11-13,Restaurant,True,,,,,[]
289,Main Street Pub,"['2011 Main St', 'Voorhees Township, NJ 08043']",False,117064458233906488352,"[39.865545, -74.9454]",0,0,1,0,0.0,3.0,"['Pub', 'Sports Bar']",2013-11-09 23:07:11,2013-11-09,Pub,True,"Growing up in a Chinese family, I have had a lot of Chinese food in my life time. The place looks great and is very clean. Although the service wasn't perfect, it was well worth the wait. Fresh ingredients and honestly some of the best Chinese food I've had in Surrey. I would definitely recommend this place for any food lover who has an experienced palette for Chinese cuisine.",2.0,"{'neg': 0.033, 'neu': 0.624, 'pos': 0.343, 'compound': 0.9783}","['Growing', 'great', 'clean.', 'perfect,', 'well', 'worth', 'Fresh', 'honestly', 'best', 'definitely', 'recommend', 'lover']",['worth']
290,Nha Trang,"['87 Baxter St', 'New York, NY 10013']",False,107760071031667793022,"[40.71671, -73.99953]",0,0,1,0,0.0,4.0,['Vietnamese Restaurant'],2012-06-13 20:02:38,2012-06-13,Vietnamese Restaurant,True,"When it first opened, the chickens came with soup. Now the price has increased and the chickens have become smaller. Only the soup is gone~",1.0,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.2732}",['increased'],['price']
291,Pizza Hut,"['Sunter Mall', 'Jl. Danau Sunter Utara No.Lt. 1', 'Tanjung Priok, Sunter Agung, Jakarta Utara 14350, Indonesia']",False,100020520267323392127,"[-6.137888, 106.870882]",0,0,0,1,0.0,5.0,['Restaurants'],2013-05-05 13:18:53,2013-05-05,Restaurants,True,,,,,[]
292,Tapeo,"['266 Newbury St', 'Boston, MA 02116']",False,117581044108977095341,"[42.349277, -71.083269]",0,0,1,0,0.0,4.0,"['Spanish Restaurant', 'European Restaurant']",2004-11-08 00:00:00,2004-11-07,Spanish Restaurant,True,,,,,[]
